EXTRACTION_DATE,CURRENCY,SELL_PRICE,SPOT_PRICE,BUY_PRICE
2019-04-25 13:36:34,USD,5423.28,5452.005,5478.2
2019-04-25 15:22:06,USD,5432.71,5461.615,5488.23
2019-04-25 15:27:07,USD,5433.43,5459.855,5488.92
2019-04-25 15:32:08,USD,5431.6,5461.615,5488.48
2019-04-25 15:37:09,USD,5432.55,5461.615,5487.44
2019-04-25 15:42:10,USD,5430.66,5461.115,5485.34
2019-04-25 15:47:12,USD,5433.14,5456.005,5487.75
2019-04-25 15:52:14,USD,5424.27,5455.28,5479.15
2019-04-25 15:57:15,USD,5428.29,5455.945,5483.28
2019-04-25 16:02:16,USD,5428.44,5458.58,5483.24
2019-04-25 21:08:37,USD,5464.88,5499.63,5521.3
2019-04-25 21:13:38,USD,5464.32,5496.43,5520.02
2019-04-25 21:18:39,USD,5467.52,5491.08,5522.48
2019-04-25 21:23:40,USD,5463.56,5487.255,5519.38
2019-04-25 21:28:41,USD,5463.72,5475.085,5519.13
2019-04-25 21:33:42,USD,5453.85,5467.55,5510.68
2019-04-25 21:38:44,USD,5450.97,5453.905,5508.38
2019-04-25 21:43:47,USD,5447.62,5442.995,5502.39
2019-04-25 21:48:49,USD,5411.75,5423.96,5468.18
2019-04-25 21:53:50,USD,5397.88,5416.515,5452.14
2019-04-25 21:58:55,USD,5376.33,5401.55,5430.38
2019-04-25 22:05:29,USD,5385.3,5181.07,5439.44
2019-04-26 00:04:09,USD,5095.24,5124.615,5146.45
2019-04-26 03:10:14,USD,5184.22,5216.99,5238.88
2019-04-26 03:15:17,USD,5190.18,5216.275,5243.08
2019-07-25 06:10:20,USD,10006.72,10057.595,10111.35
2019-07-25 06:15:21,USD,10012.5,10061.23,10115.08
2019-07-25 06:20:22,USD,10014.63,10064.955,10115.29
2019-07-25 06:25:23,USD,10021.64,10072.005,10122.37
2019-07-25 06:30:24,USD,10019.1,10067.915,10120.06
2019-07-25 06:35:25,USD,10014.11,10064.535,10115.6
2019-07-25 06:40:27,USD,10009.21,10059.515,10109.82
2019-04-25 02:31:41,USD,5422.75,5437.03,5477.27
2019-04-25 02:33:25,USD,5421.58,5439.985,5476.26
2019-04-25 07:10:01,USD,5379.96,5404.315,5434.06
2019-04-25 07:15:02,USD,5372.65,5405.255,5426.69
2019-04-25 08:05:14,USD,5402.75,5420.145,5457.15
2019-04-25 10:05:43,USD,5402.11,5431.425,5456.42
2019-04-25 12:06:14,USD,5439.85,5462.805,5494.54
2019-04-25 12:11:15,USD,5441.65,5456.035,5496.34
2019-07-25 06:00:18,USD,10029.6,10082.615,10130.42
